Flat No.,Area in Sqrt,No.of Bhk,Location,Price
1952,3550,4,"Sector 107, Noida", 3.51 Cr
1953,3550,4,"Sector 107, Noida", 3.51 Cr
1954,2990,4,"Sector 150, Noida", 2.24 Cr
1955,1350,3,"Sector 152, Noida", 1.01 Cr
1956,1150,2,"Sector 143B, Noida", 81.1 L
1957,1050,2,"Sector 73, Noida", 25.75 L
1958,1260,2,"Sector 75, Noida", 81.9 L
1959,1260,2,"Sector 75, Noida", 81.9 L
1960,1404,3,"Sector 150, Noida", 1.05 Cr
1961,1404,3,"Sector 150, Noida", 1.05 Cr
1962,1404,3,"Sector 150, Noida", 1.05 Cr
1963,1404,3,"Sector 150, Noida", 1.05 Cr
1964,1137,2,"Sector 150, Noida", 85.27 L
1965,1137,2,"Sector 150, Noida", 85.27 L
1966,783,3,"Sector 150, Noida", 1.05 Cr
1967,783,3,"Sector 150, Noida", 1.05 Cr
1968,981,3,"Sector 150, Noida", 1.28 Cr
1969,783,3,"Sector 150, Noida", 1.05 Cr
1970,648,2,"Sector 150, Noida", 93.16 L
1971,981,3,"Sector 150, Noida", 1.28 Cr
1972,648,2,"Sector 150, Noida", 93.16 L
1973,2448,4,"Sector 121, Noida", 2.7 Cr
1974,4700,4,"Sector 144, Noida", 7.5 Cr
1975,4700,4,"Sector 144, Noida", 7.5 Cr
1976,4700,4,"Sector 144, Noida", 7.5 Cr
1977,4700,4,"Sector 144, Noida", 7.5 Cr
1978,550,1,"Sector 45, Noida", 18 L
1979,3501,4,"Sector 107, Noida", 4.7 Cr
1980,3501,4,"Sector 107, Noida", 4.7 Cr
1981,4482,4,"Sector 107, Noida", 6.05 Cr
1982,4482,4,"Sector 107, Noida", 6.05 Cr
1983,6570,5,"Sector 107, Noida", 8.9 Cr
1984,6570,5,"Sector 107, Noida", 8.9 Cr
1985,1608,3,"Sector 128, Noida", 3.69 Cr
1986,2126,4,"Sector 128, Noida", 5.08 Cr
1987,2122,4,"Sector 128, Noida", 4.81 Cr
1988,2105,4,"Sector 128, Noida", 5.04 Cr
1989,2100,4,"Sector 128, Noida", 4.78 Cr
1990,1630,3,"Sector 128, Noida", 3.72 Cr
1991,4700,4,"Sector 144, Noida", 7.5 Cr
1992,4700,4,"Sector 144, Noida", 7.5 Cr
1993,4700,4,"Sector 144, Noida", 7.5 Cr
1994,4700,4,"Sector 144, Noida", 7.5 Cr
1995,3525,4,"Sector 78, Noida", 4.23 Cr
1996,3525,4,"Sector 78, Noida", 4.23 Cr
1997,3525,4,"Sector 78, Noida", 4.23 Cr
1998,3070,3,"Sector 78, Noida", 3.68 Cr
1999,3525,4,"Sector 78, Noida", 4.23 Cr
2000,3020,3,"Sector 78, Noida", 3.62 Cr
2001,3070,3,"Sector 78, Noida", 3.68 Cr
2002,3020,3,"Sector 78, Noida", 3.62 Cr
2003,3475,3,"Sector 78, Noida", 4.17 Cr
2004,3475,3,"Sector 78, Noida", 4.17 Cr
2005,2500,3,"Sector 78, Noida", 3 Cr
2006,2500,3,"Sector 78, Noida", 3 Cr
2007,3775,5,"Sector 78, Noida", 4.53 Cr
2008,3775,5,"Sector 78, Noida", 4.53 Cr
2009,3370,4,"Sector 78, Noida", 4.04 Cr
2010,3370,4,"Sector 78, Noida", 4.04 Cr
2011,3430,4,"Sector 78, Noida", 4.11 Cr
2012,3430,4,"Sector 78, Noida", 4.11 Cr
2013,4425,4,"Sector 78, Noida", 5.31 Cr
2014,4425,4,"Sector 78, Noida", 5.31 Cr
2015,1010,2,"Sector 62, Noida", 70 L
2016,5000,7,"Sector 51, Noida", 6.75 Cr
2017,7000,10,"Sector 26, Noida", 6 Cr
2018,2500,5,"Sector 52, Noida", 2.5 Cr
2019,3500,5,"Sector 15, Noida", 24 Cr
2020,1248,3,"Sector 43, Noida", 3.35 Cr
2021,1345,3,"Sector 43, Noida", 3.72 Cr
2022,1345,3,"Sector 43, Noida", 3.72 Cr
2023,1248,3,"Sector 43, Noida", 3.35 Cr
2024,1248,3,"Sector 43, Noida", 3.35 Cr
2025,1345,3,"Sector 43, Noida", 3.72 Cr
2026,1345,3,"Sector 43, Noida", 3.72 Cr
2027,1249,3,"Sector 43, Noida", 3.35 Cr
2028,1249,3,"Sector 43, Noida", 3.35 Cr
2029,1753,4,"Sector 43, Noida", 4.06 Cr
2030,1753,4,"Sector 43, Noida", 4.06 Cr
2031,2080,5,"Sector 43, Noida", 5.09 Cr
2032,2080,5,"Sector 43, Noida", 5.09 Cr
2033,1848,4,"Sector 43, Noida", 4.4 Cr
2034,1848,4,"Sector 43, Noida", 4.4 Cr
2035,2600,5,"Sector 33, Noida", 5 Cr
2036,1800,5,"Sector 49, Noida", 2.6 Cr
2037,2800,7,"Sector 71, Noida", 8.25 Cr
2038,2000,5,"Sector 50, Noida", 3 Cr
2039,3754,5,"Sector 43, Noida", 5.6 Cr
2040,3131,4,"Sector 43, Noida", 4.1 Cr
2041,750,1,"Sector 121, Noida", 18 L
2042,665,1,"Sector 73, Noida", 15 L
2043,880,2,"Sector 75, Noida", 24.25 L
2044,2548,3,"Sector 50, Noida", 2.5 Cr
